new,original,name2,count
Shop & Service,Souvenir Shop,Shop & Service,2
Outdoors & Recreation,Sports Club,Outdoors & Recreation,2
Restaurant,Sri Lankan Restaurant,Food,2
Outdoors & Recreation,Stables,Outdoors & Recreation,2
Food,Taco Place,Food,2
Outdoors & Recreation,Tennis Court,Outdoors & Recreation,2
Restaurant,Theme Restaurant,Food,2
Shop & Service,Used Bookstore,Shop & Service,2
Shop & Service,ATM,Shop & Service,1
Shop & Service,Adult Boutique,Shop & Service,1
Professional & Other Places,Advertising Agency,Professional & Other Places,1
Food,Arepa Restaurant,Food,1
Entertainment,Arts & Entertainment,Arts & Entertainment,1
Restaurant,Australian Restaurant,Food,1
Outdoors & Recreation,Badminton Court,Outdoors & Recreation,1
Travel & Transport,Boarding House,Travel & Transport,1
Shop & Service,Camera Store,Shop & Service,1
Outdoors & Recreation,Canal Lock,Outdoors & Recreation,1
Food,Chaat Place,Food,1
Professional & Other Places,Circus School,Professional & Other Places,1
Professional & Other Places,Club House,Professional & Other Places,1
College & University,College Residence Hall,College & University,1
Restaurant,Colombian Restaurant,Food,1
Shop & Service,Comic Shop,Shop & Service,1
College & University,Community College,College & University,1
Shop & Service,Costume Shop,Shop & Service,1
Professional & Other Places,Cultural Center,Professional & Other Places,1
Food,Czech Restaurant,Food,1
Shop & Service,Design Studio,Shop & Service,1
Food,Doner Restaurant,Food,1
Food,Food,Food,1
Food,Food Stand,Food,1
Coffee Shop/Café,Gaming Cafe,Shop & Service,1
Gym,Gymnastics Gym,Outdoors & Recreation,1
Outdoors & Recreation,Hill,Outdoors & Recreation,1
Food,Hot Dog Joint,Food,1
Restaurant,Indian Chinese Restaurant,Food,1
Restaurant,Indonesian Restaurant,Food,1
Bar,Karaoke Bar,Nightlife Spot,1a
Shop & Service,Kids Store,Shop & Service,1
Shop & Service,Kitchen Supply Store,Shop & Service,1
Restaurant,Molecular Gastronomy Restaurant,Food,1
Shop & Service,Motorcycle Shop,Shop & Service,1
Asian Restaurant,Okonomiyaki Restaurant,Food,1
Shop & Service,Outdoor Supply Store,Shop & Service,1
Outdoors & Recreation,Outdoors & Recreation,Outdoors & Recreation,1
Shop & Service,Paper / Office Supplies Store,Shop & Service,1
Food,Pastry Shop,Food,1
Shop & Service,Pet Store,Shop & Service,1
Gym,Pilates Studio,Outdoors & Recreation,1
Entertainment,Pool Hall,Arts & Entertainment,1
Professional & Other Places,Post Office,Professional & Other Places,1
Travel & Transport,Rental Car Location,Travel & Transport,1
Outdoors & Recreation,River,Outdoors & Recreation,1
Outdoors & Recreation,Rugby Pitch,Outdoors & Recreation,1
Restaurant,Russian Restaurant,Food,1
Bar,Sake Bar,Nightlife Spot,1
Shop & Service,Sausage Shop,Shop & Service,1
Outdoors & Recreation,Sculpture Garden,Outdoors & Recreation,1
Restaurant,Shaanxi Restaurant,Food,1
Shop & Service,Shopping Plaza,Shop & Service,1
Shop & Service,Smoke Shop,Shop & Service,1
College & University,Student Center,College & University,1
Shop & Service,Tailor Shop,Shop & Service,1
Entertainment,Tour Provider,Arts & Entertainment,1
Travel & Transport,Tunnel,Travel & Transport,1
Shop & Service,Vape Store,Shop & Service,1
Restaurant,Veneto Restaurant,Food,1
Professional & Other Places,Winery,Professional & Other Places,1
Asian Restaurant,Yakitori Restaurant,Food,1
